name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0680,12500,57344,0,0,0.0,1,Running,12449167,12449503,12449168.0
openb-pod-0681,8000,30517,0,0,0.0,2,Running,12065693,12090823,12065693.0
openb-pod-0682,15400,51200,0,0,0.0,1,Running,10802404,10803837,10802409.0
openb-pod-0683,32000,49152,0,0,0.0,2,Running,12881312,12883259,12881316.0
openb-pod-0685,15400,51200,0,0,0.0,1,Running,10950677,10950850,10950711.0
openb-pod-0686,12500,57344,0,0,0.0,1,Running,10534465,10534939,10534502.0
openb-pod-0687,8000,30517,0,0,0.0,2,Running,12584087,12602590,12584087.0
openb-pod-0688,32000,49152,0,0,0.0,2,Running,11128729,11128880,11128734.0
openb-pod-0689,32000,49152,0,0,0.0,2,Running,11438102,11438251,11438107.0
openb-pod-0690,12500,57344,0,0,0.0,1,Running,10790555,10790969,10790590.0
openb-pod-0691,12500,57344,0,0,0.0,1,Running,10644349,10644970,10644351.0
openb-pod-0692,32000,62500,0,0,0.0,1,Running,11706745,11708242,11706746.0
openb-pod-0693,8000,30517,0,0,0.0,2,Running,11547221,11567058,11547221.0
openb-pod-0694,32000,49152,0,0,0.0,2,Running,11790434,11790614,11790437.0
openb-pod-0695,20000,65536,0,0,0.0,1,Running,10280529,11556705,10280531.0
openb-pod-0696,8000,30517,0,0,0.0,2,Running,12727848,12729035,12727848.0
openb-pod-0697,16500,51200,0,0,0.0,1,Running,10287519,10288374,10287553.0
openb-pod-0698,8000,30517,0,0,0.0,2,Running,10510443,10525997,10510444.0
openb-pod-0700,12500,57344,0,0,0.0,1,Running,10277534,10277969,10277536.0
openb-pod-0701,32000,49152,0,0,0.0,2,Running,10703545,10703694,10703552.0
openb-pod-0702,12500,57344,0,0,0.0,1,Running,10644683,10644901,10644718.0
openb-pod-0703,32000,49152,0,0,0.0,2,Running,11176116,11176266,11176121.0
openb-pod-0704,15400,51200,0,0,0.0,1,Running,10184106,10184386,10184143.0
openb-pod-0705,32000,49152,0,0,0.0,2,Running,11484588,11484833,11484592.0
openb-pod-0706,16500,51200,0,0,0.0,1,Running,11328655,11328742,11328657.0
openb-pod-0707,12500,57344,0,0,0.0,1,Running,12452185,12452710,12452218.0
openb-pod-0708,15400,51200,0,0,0.0,1,Running,12629223,12630008,12629226.0
openb-pod-0709,16000,32768,0,0,0.0,2,Running,11199319,11199593,11199321.0
openb-pod-0710,8000,30517,0,0,0.0,2,Running,12727848,12729036,12727848.0
openb-pod-0711,12500,57344,0,0,0.0,1,Running,10451465,10451700,10451468.0
openb-pod-0712,8000,30517,0,0,0.0,2,Running,11201632,11222202,11201633.0
openb-pod-0713,12500,57344,0,0,0.0,1,Running,10608152,10609276,10608154.0
openb-pod-0714,32000,49152,0,0,0.0,2,Running,11603154,11603334,11603156.0
openb-pod-0715,12500,57344,0,0,0.0,1,Running,11817664,11817937,11817666.0
openb-pod-0716,12500,57344,0,0,0.0,1,Running,12101794,12102143,12101796.0
openb-pod-0717,12500,57344,0,0,0.0,1,Running,12711905,12712380,12711940.0
openb-pod-0718,12500,57344,0,0,0.0,1,Running,10809050,10809379,10809053.0
openb-pod-0719,15400,51200,0,0,0.0,1,Running,10806836,10806961,10806873.0
openb-pod-0720,32000,49152,0,0,0.0,2,Running,12051090,12051240,12051096.0
openb-pod-0721,16500,51200,0,0,0.0,1,Running,11345812,11348795,11345814.0
openb-pod-0722,8000,30517,0,0,0.0,2,Running,12843244,12859796,12843248.0
